时间,股票,价格,短线趋势,波段趋势,总评分,建议
2026-04-18 09:22:59,2983,24.66,上升,下降,60,观望
2026-04-18 09:24:55,2938,62.12,上升,下降,50,观望
2026-04-18 10:58:35,2938,62.12,上升,下降,77,观望
2026-04-18 11:14:30,2938,62.12,上升,下降,77,未知
2026-04-18 11:17:20,2938,62.12,上升,下降,77,不建议
2026-04-18 14:16:42,2938,62.12,上升,下降,67,未知
2026-04-18 15:48:06,2938,62.12,上升,下降,67,不建议
2026-04-18 15:53:29,2938,62.12,上升,下降,67,未知
2026-04-18 15:59:46,2938,62.12,上升,下降,67,未知
2026-04-18 16:10:02,2938,62.12,上升,下降,67,未知
2026-04-18 16:15:08,2938,62.12,上升,下降,67,未知
2026-04-18 18:56:52,2938,62.12,上升,下降,67,未知
2026-04-18 19:19:08,2938,62.12,上升,下降,67,未知
2026-04-18 19:20:24,2938,62.12,上升,下降,67,观望
2026-04-18 19:21:13,2938,62.12,上升,下降,67,未知
2026-04-18 19:49:36,2938,62.12,上升,下降,67,未知
2026-04-18 20:05:21,2938,62.12,上升,下降,67,未知
2026-04-18 20:06:53,2938,62.12,上升,下降,67,未知
2026-04-18 20:17:34,2938,62.12,上升,下降,67,未知
2026-04-18 20:23:51,2938,62.12,上升,下降,67,未知
2026-04-18 20:26:20,2938,62.12,上升,下降,67,未知
2026-04-18 20:30:58,2938,62.12,上升,下降,67,未知
2026-04-18 20:31:50,2938,62.12,上升,下降,67,未知
2026-04-18 20:32:40,2983,24.66,上升,下降,43,观望
2026-04-18 20:36:22,2983,24.66,上升,下降,43,观望
2026-04-18 20:37:05,2938,62.12,上升,下降,67,未知
2026-04-18 20:37:55,2988,34.1,上升,下降,34,观望
2026-04-18 20:46:00,2988,34.1,上升,下降,34,观望
2026-04-18 20:50:15,2986,14.75,下降,上升,33,观望
2026-04-18 20:51:03,2966,8.67,上升,上升,52,观望
2026-04-18 20:58:02,2900,11.19,下降,下降,8,观望
2026-04-18 21:04:38,2933,32.66,上升,下降,4,观望
2026-04-18 21:13:57,2933,32.66,上升,下降,4,观望
2026-04-18 21:29:27,2955,25.33,下降,下降,16,观望
2026-04-18 22:03:03,2938,62.12,上升,下降,67,未知
2026-04-18 22:10:21,2938,62.12,上升,下降,67,未知
2026-04-18 22:14:52,2938,62.12,上升,下降,67,未知
2026-04-18 22:25:51,2983,24.66,上升,下降,43,观望
2026-04-18 23:01:41,2938,62.12,上升,下降,67,未知
2026-04-19 01:11:49,2983,24.66,上升,下降,41,观望
2026-04-19 01:12:43,2938,62.12,上升,下降,65,未知
2026-04-19 02:14:00,2938,62.12,上升,下降,65,未知
2026-04-19 04:44:58,2938,62.12,上升,下降,65,未知
2026-04-19 05:35:21,2938,62.12,上升,下降,65,未知
2026-04-19 05:45:34,2938,62.12,上升,下降,65,未知
2026-04-19 07:30:53,2938,62.12,上升,下降,65,未知
2026-04-19 07:45:04,2938,62.12,上升,下降,65,未知
2026-04-19 07:50:30,2938,62.12,上升,下降,65,未知
2026-04-19 07:54:21,2938,62.12,上升,下降,65,轻仓
2026-04-19 08:16:15,2938,62.12,上升,下降,65,未知
2026-04-19 08:17:03,002938,62.12,上升,下降,65,未知
